identifiers: ID,identifiers: URI (JONAS),identifiers: URI (Mirabile),identifiers: URI (Pinakes),identifiers: URI (VIAF),identifiers: other ref(s),identifiers: other URI(s),title: uniform,title: variant,title: ms,title: normalised,author: name,author: ID,author: affiliation,translator: name,translator: ID,translator: affiliation,language: text lang(s),language: main,language: other,incipit: incipit,subjects: list,subjects: URI(s),subjects: theology,subjects: documents,subjects: bible,subjects: literature,subjects: science,subjects: liturgy,subjects: history,subjects: law,subjects: philosophy,subjects: hagiography,subjects: medicine,subjects: christian literature,subjects: sermons,subjects: classical literature,subjects: monasticism and religious orders,subjects: grammar,subjects: clergy,subjects: rhetoric,subjects: geography,subjects: natural history,subjects: politics and government,subjects: music,subjects: indexes,subjects: conduct,subjects: heraldry,subjects: magic,subjects: bibliography,subjects: recreation,bibliography: repertory/ies,bibliography: repertory URI(s),bibliography: edition(s),bibliography: edition URI(s),bibliography: other bibl(s),bibliography: note(s)
work_1,,,,,,,"Aristides, Aelius, 117–187: Ad Capitonem, or. 47 d [Greek]",,"ad capitonem, or. 47 d",,"Aristides, Aelius, 117–187",person_89043754,,,,,,grc,,,classical literature,https://id.loc.gov/authorities/subjects/sh85026706.html,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_2,,,,,,,"Gregorius, Nazianzenus, 329–390: Ad cives Nazianzenos (or. 17) [Greek]",,ad cives nazianzenos,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_3,,,,,,,"Gregorius, Nazianzenus, 329–390: Ad eos qui ipsum acciverant nec occurrerant (or. 3) [Greek]",,ad eos qui ipsum acciverant nec occurrerant,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_4,,,,,,,"Synesius, of Cyrene, Bishop of Ptolemais: Ad Paeonium de de dono astrolabii [Greek]",,ad paeonium de dono,,"Synesius, of Cyrene, Bishop of Ptolemais",person_102323982,,,,,,grc,,,science,https://id.loc.gov/authorities/subjects/sh85118553.html,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_5,,,,,,,"Gregorius, Nazianzenus, 329–390: Ad patrem (or. 12) [Greek]",,ad patrem,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_6,,,,,,,"Gregorius, Nazianzenus, 329–390: Adversus Arianos et de seipso (or. 33) [Greek]",,adversus arianos et de seipso,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_7,,,,,,,"Gregorius, Nazianzenus, 329–390: Adversus Eunomianos (or. 27)[Greek]",,adversus eunomianos,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_8,,,,,,,"Gregorius, Nazianzenus, 329–390: Adversus Iulianum imperatorem prior invectiva (or. 4) [Greek]",,adversus iulianum imperatorem prior invectiva,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_9,,,,,,,"Gregorius, Nazianzenus, 329–390: Adversus Iulianum secunda inuectiva (or. 5) [Greek]",,adversus iulianum secunda invectiva,,"Gregorius, Nazianzenus, 329–390",person_108675755,,,,,,grc,,,theology,https://id.loc.gov/authorities/subjects/sh85134665.html,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_10,,,,,,,"Synesius, of Cyrene, Bishop of Ptolemais: Aegyptii sive de providentia [Greek]",,"aegyptii sive de providentia; aegyptii, sive de providentia; aegyptii",,"Synesius, of Cyrene, Bishop of Ptolemais",person_102323982,,,,,,grc,,,history,https://id.loc.gov/authorities/subjects/sh85061212.html,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_11,,,,,,,"Lucian, of Samosata: Amores [Greek]",,amores,,"Lucian, of Samosata",person_100218901,,,,,,grc,,,classical literature,https://id.loc.gov/authorities/subjects/sh85026706.html,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_12,,,,,,,Aristotle: Analytica posteriora [Greek],,analytica posteriora,,Aristotle,person_7524651,,,,,,grc,,,philosophy,https://id.loc.gov/authorities/subjects/sh85100849.html,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
work_13,,,,,,,Aristotle: Analytica priora [Greek],,analytica priora,,Aristotle,person_7524651,,,,,,grc,,,philosophy,https://id.loc.gov/authorities/subjects/sh85100849.html,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
