metadata: record UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,metadata: crArk,metadata: ieArk,metadata: SCN,metadata: TM,metadata: PR,metadata: diktyon,record: history,record: source,record: most recent change,record: quarto cat,record: summary,record: updated,publisher: institution,publisher: unit,publisher: department,location: settlement,location: institution,location: repository,availability: availability statement,surrogates: full digital facsimile(s),surrogates: full digital facsimile URI(s),surrogates: full iiif manifest,surrogates: partial digital facsimile(s),surrogates: partial digital facsimile URI(s),surrogates: partial iiif manifest,printed resources: bibliography,printed resources: URI(s),printed resources: ID(s),online resources: JONAS URI,online resources: bibliography,online resources: URI(s)
MS_Add_A_2_record_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,manuscript,,MS_Add_A_2,ark:29072/x0z029p4069f,ark:29072/x0z316q089m4,28744.0,,,,"Description adapted (November 2024) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1970) Summary Catalogue, Vol. 5, p. 502","Summary Catalogue, Vol. 5, p. 502",2024-11-13,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_4_record_1,manuscript_64,Add_A,MS_Add_A_4,MS. Add. A. 4,manuscript,,MS_Add_A_4,ark:29072/x03b5919622c,ark:29072/x0fb49485511,24750.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 60","Summary Catalogue, Vol. 5, p. 60",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_5_record_1,manuscript_68,Add_A,MS_Add_A_5,MS. Add. A. 5,manuscript,,MS_Add_A_5,ark:29072/x041687j457w,ark:29072/x07d278t56cf,24753.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 61","Summary Catalogue, Vol. 5, p. 61",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_6_record_1,manuscript_70,Add_A,MS_Add_A_6,MS. Add. A. 6,manuscript,,MS_Add_A_6,ark:29072/x047429b11vg,ark:29072/x0dv13zt38cn,24712.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905) Summary Catalogue, Vol. 5, p. 49","Summary Catalogue, Vol. 5, p. 49",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_7_record_1,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,manuscript-composite,MS. Add. A. 7 – Part 1 MS. Add. A. 7 – Part 2 MS. Add. A. 7 – Part 3,MS_Add_A_7,ark:29072/x04q77fs28d9,ark:29072/x04t64gp11q1,28745.0,,,,"Description adapted (July 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1973) Summary Catalogue, Vol. 5, p. 502 Summary Catalogue, Vol. 5, p. 503","Summary Catalogue, Vol. 5, p. 502; Summary Catalogue, Vol. 5, p. 503",2025-07-21,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_8_record_1,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,ark:29072/x04x51hj9512,ark:29072/x0b5644r8938,24757.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905). Decoration, localization and date follow Pächt and Alexander (1970) Summary Catalogue, Vol. 5, p. 63 Summary Catalogue, Vol. 5, p. 64","Summary Catalogue, Vol. 5, p. 63; Summary Catalogue, Vol. 5, p. 64",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_9_record_1,manuscript_75,Add_A,MS_Add_A_9,MS. Add. A. 9,manuscript,,MS_Add_A_9,ark:29072/x05138jf78bx,ark:29072/x02v23vv243m,24748.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the following sources: Summary Catalogue, Vol. 5, p. 59","Summary Catalogue, Vol. 5, p. 59",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_10_record_1,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,manuscript-composite,MS. Add. A. 10 - part A (upper text) MS. Add. A. 10 - part A (lower text) MS. Add. A. 10 - part B MS. Add. A. 10 - part C,MS_Add_A_10,ark:29072/x0rb68xb57mb,ark:29072/x05d86p0901q,24731.0,,,,"Description adapted (May 2022) from the Summary Catalogue (1905). Summary Catalogue, Vol. 5, p. 56","Summary Catalogue, Vol. 5, p. 56",2022-05-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_11_record_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,manuscript,,MS_Add_A_11,ark:29072/x0st74cq078j,ark:29072/x0sx61dk90k3,28746.0,,,,"Adapted (2017) with corrections (identification of text) from A. G. Watson, Catalogue of Dated and Datable Manuscripts c.435–1600 in Oxford Libraries (Oxford, 1984), no. 1, and the Summary Catalogue (1905). Summary Catalogue, Vol. 5, p. 503","Summary Catalogue, Vol. 5, p. 503",2017-07-01,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
MS_Add_A_12_record_1,manuscript_13,Add_A,MS_Add_A_12,MS. Add. A. 12,manuscript,,MS_Add_A_12,ark:29072/x0th83kx90fr,ark:29072/x0k3569420vk,24759.0,,,,"Description adapted (May 2025) by Stewart J. Brookes from the Summary Catalogue (1905) with additional reference to published literature as cited. Summary Catalogue, Vol. 5, p. 64","Summary Catalogue, Vol. 5, p. 64",2025-05-29,False,True,False,University of Oxford,Bodleian Libraries,Special Collections,Oxford,University of Oxford,Bodleian Library,,False,,,False,,,,,,,,
