metadata: origin UID,metadata: file URL,metadata: collection,metadata: ms ID,metadata: shelfmark,metadata: ms type,metadata: part name,metadata: part ID,overview: origin,overview: additions,locus: locus,locus: from,locus: to,orig date: date,orig date: when,orig date: not before,orig date: not after,orig date: certainty,orig date: calendar,orig place: place,orig place: country,orig place: country ID,orig place: country lat,orig place: country long,orig place: region,orig place: region ID,orig place: region lat,orig place: region long,orig place: settlement,orig place: settlement ID,orig place: settlement lat,orig place: settlement long,orig org: org,orig org: org ID,orig org: org lat,orig org: org long,add date: date,add date: when,add date: not before,add date: not after,add date: certainty,add date: calendar,add place: place,add place: country,add place: country ID,add place: country lat,add place: country long,add place: region,add place: region ID,add place: region lat,add place: region long,add place: settlement,add place: settlement ID,add place: settlement lat,add place: settlement long,add org: org,add org: org ID,add org: org lat,add org: org long,bibliography: bibl(s),bibliography: ref(s),bibliography: ref ID(s),bibliography: note(s)
MS_Add_A_2_origin_1,manuscript_39,Add_A,MS_Add_A_2,MS. Add. A. 2,manuscript,,MS_Add_A_2,"15th century, middle Italy North",,,,,"15th century, middle",,1440,1460,,Gregorian,Italy North,Italy,place_1000080,42.8333,12.8333,North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_4_origin_1,manuscript_64,Add_A,MS_Add_A_4,MS. Add. A. 4,manuscript,,MS_Add_A_4,16th century Italy,,,,,16th century,,1500,1600,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_5_origin_1,manuscript_68,Add_A,MS_Add_A_5,MS. Add. A. 5,manuscript,,MS_Add_A_5,15th century Italy,,,,,15th century,,1400,1500,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_6_origin_1,manuscript_70,Add_A,MS_Add_A_6,MS. Add. A. 6,manuscript,,MS_Add_A_6,"15th century, first half Italy","with addition, 1488",,,,"15th century, first half",,1400,1450,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,"with addition, 1488",1488,1488,1488,high,Gregorian,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_origin_1,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,manuscript-composite,,MS_Add_A_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_origin_2,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 1,MS_Add_A_7-part1,"14th century, first half Italy",,,,,"14th century, first half",,1300,1350,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_origin_3,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 2,MS_Add_A_7-part2,"12th century, first half Italy",,,,,"12th century, first half",,1100,1150,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_7_origin_4,manuscript_73,Add_A,MS_Add_A_7,MS. Add. A. 7,part,MS. Add. A. 7 – Part 3,MS_Add_A_7-part3,13th or 14th century Italy,,,,,13th or 14th century,,1200,1400,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_8_origin_1,manuscript_74,Add_A,MS_Add_A_8,MS. Add. A. 8,manuscript,,MS_Add_A_8,"15th century, second quarter Italy, Venice (?)",,,,,"15th century, second quarter",,1425,1450,,Gregorian,"Italy, Venice (?)",Italy,place_1000080,42.8333,12.8333,,,,,Venice,place_7018159,45.438611,12.326667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_9_origin_1,manuscript_75,Add_A,MS_Add_A_9,MS. Add. A. 9,manuscript,,MS_Add_A_9,"13th century, second half",,,,,"13th century, second half",,1250,1300,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_10_origin_1,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,manuscript-composite,,MS_Add_A_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_10_origin_2,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,part,MS. Add. A. 10 - part A (upper text),MS_Add_A_10-partAi,14th century Italy,,,,,14th century,,1300,1400,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_10_origin_3,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,part,MS. Add. A. 10 - part A (lower text),MS_Add_A_10-partAii,11th century (?),,,,,11th century (?),,1000,1100,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_10_origin_4,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,part,MS. Add. A. 10 - part B,MS_Add_A_10-partB,"13th century, second half",,,,,"13th century, second half",,1250,1300,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_10_origin_5,manuscript_1,Add_A,MS_Add_A_10,MS. Add. A. 10,part,MS. Add. A. 10 - part C,MS_Add_A_10-partC,"14th century, late",,,,,"14th century, late",,1390,1400,,Gregorian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_11_origin_1,manuscript_9,Add_A,MS_Add_A_11,MS. Add. A. 11,manuscript,,MS_Add_A_11,Italy 1443,,,,,1443,1443,1443,1443,high,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_12_origin_1,manuscript_13,Add_A,MS_Add_A_12,MS. Add. A. 12,manuscript,,MS_Add_A_12,"15th century, second half Italy",,,,,"15th century, second half",,1450,1500,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS_Add_A_13_origin_1,manuscript_14,Add_A,MS_Add_A_13,MS. Add. A. 13,manuscript,,MS_Add_A_13,15th century Italy,,,,,15th century,,1400,1500,,Gregorian,Italy,Italy,place_1000080,42.8333,12.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
