data quality: file,data quality: section,data quality: heading,data quality: count,data quality: percentage
00_overview,metadata,file URL,16020,100.00%
00_overview,metadata,collection,16020,100.00%
00_overview,metadata,ms ID,16020,100.00%
00_overview,metadata,shelfmark,16020,100.00%
00_overview,metadata,ms type,16020,100.00%
00_overview,metadata,part name,4041,25.22%
00_overview,metadata,part ID,16004,99.90%
00_overview,origin,not before,14145,88.30%
00_overview,origin,not after,14137,88.25%
00_overview,origin,country,10682,66.68%
00_overview,origin,region,929,5.80%
00_overview,origin,settlement,2366,14.77%
00_overview,origin,org,411,2.57%
00_overview,provenance,overview,7886,49.23%
00_overview,provenance,former owner name(s),6545,40.86%
00_overview,provenance,named place(s),147,0.92%
00_overview,acquisition,overview,6034,37.67%
00_overview,acquisition,not before,5566,34.74%
00_overview,acquisition,not after,5652,35.28%
00_overview,acquisition,former owner name(s),138,0.86%
00_overview,acquisition,donor name(s),591,3.69%
00_overview,secundo folio,transcription(s),1521,9.49%
00_overview,secundo folio,locus,383,2.39%
00_overview,secundo folio,note(s),80,0.50%
00_overview,contents,lang(s),3610,22.53%
00_overview,contents,lang code(s),15521,96.89%
00_overview,contents,n items and parts,14595,91.10%
00_overview,contents,title(s),13975,87.23%
00_overview,contents,standard title(s),13267,82.82%
00_overview,contents,subject(s),13227,82.57%
00_overview,contents,author(s) referenced,7561,47.20%
00_overview,music,notation,517,3.23%
00_overview,decoration,overview,6932,43.27%
00_overview,decoration,type(s),5855,36.55%
00_overview,codicology,form,14812,92.46%
00_overview,codicology,condition,502,3.13%
00_overview,codicology,support,14809,92.44%
00_overview,codicology,disposition,302,1.89%
00_overview,codicology,watermark,240,1.50%
00_overview,codicology,extent,4611,28.78%
00_overview,codicology,core folios,4561,28.47%
00_overview,codicology,endleaves,391,2.44%
00_overview,codicology,later endleaves,3003,18.75%
00_overview,codicology,collation,2131,13.30%
00_overview,codicology,main structure,497,3.10%
00_overview,codicology,structures,497,3.10%
00_overview,codicology,catchwords,657,4.10%
00_overview,codicology,signatures,510,3.18%
00_overview,codicology,foliation,1138,7.10%
00_overview,palaeography,hands,501,3.13%
00_overview,palaeography,script,1861,11.62%
00_overview,palaeography,main script,1860,11.61%
00_overview,palaeography,execution,196,1.22%
00_overview,palaeography,medium,3,0.02%
00_overview,binding,overview,3541,22.10%
00_overview,binding,contemporary,415,2.59%
00_overview,binding,not before,3064,19.13%
00_overview,binding,not after,3030,18.91%
00_overview,binding,certainty,8,0.05%
